vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5346.0,4346.0
vehicle_10002,2000.0,9677.0,7677.0
vehicle_10003,2000.0,4905.0,2905.0
vehicle_10004,2000.0,9543.0,7543.0
vehicle_10005,2000.0,6134.0,4134.0
vehicle_10006,2000.0,8252.0,6252.0
vehicle_10007,2000.0,6336.0,4336.0
vehicle_10008,2000.0,8194.0,6194.0
vehicle_10009,2000.0,6060.0,4060.0
vehicle_100010,2000.0,4507.0,2507.0
vehicle_100011,2000.0,7207.0,5207.0
vehicle_100012,2000.0,5754.0,3754.0
vehicle_100013,2000.0,7350.0,5350.0
vehicle_100014,2000.0,8690.0,6690.0
vehicle_100015,2000.0,7202.0,5202.0
vehicle_100016,2000.0,6426.0,4426.0
vehicle_100017,2000.0,9688.0,7688.0
vehicle_100018,2000.0,7311.0,5311.0
vehicle_100019,2000.0,8410.0,6410.0
vehicle_100020,2000.0,6225.0,4225.0
