vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5367.0,4367.0
vehicle_10002,2000.0,9097.0,7097.0
vehicle_10003,2000.0,4911.0,2911.0
vehicle_10004,2000.0,8884.0,6884.0
vehicle_10005,2000.0,6290.0,4290.0
vehicle_10006,2000.0,9638.0,7638.0
vehicle_10007,2000.0,10349.0,8349.0
vehicle_10008,2000.0,7340.0,5340.0
vehicle_10009,2000.0,10681.0,8681.0
vehicle_100010,2000.0,7255.0,5255.0
vehicle_100011,2000.0,7308.0,5308.0
vehicle_100012,2000.0,7708.0,5708.0
vehicle_100013,2000.0,7254.0,5254.0
vehicle_100014,2000.0,8118.0,6118.0
vehicle_100015,2000.0,11453.0,9453.0
vehicle_100016,2000.0,5929.0,3929.0
vehicle_100017,2000.0,7325.0,5325.0
vehicle_100018,2000.0,11284.0,9284.0
vehicle_100019,2000.0,7483.0,5483.0
vehicle_100020,2000.0,5834.0,3834.0
