vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5144.0,4144.0
vehicle_10002,2000.0,6290.0,4290.0
vehicle_10003,2000.0,7240.0,5240.0
vehicle_10004,2000.0,6437.0,4437.0
vehicle_10005,2000.0,6333.0,4333.0
vehicle_10006,2000.0,6973.0,4973.0
vehicle_10007,2000.0,6626.0,4626.0
vehicle_10008,2000.0,5408.0,3408.0
vehicle_10009,2000.0,8703.0,6703.0
vehicle_100010,2000.0,9518.0,7518.0
vehicle_100011,2000.0,6955.0,4955.0
vehicle_100012,2000.0,7882.0,5882.0
vehicle_100013,2000.0,6364.0,4364.0
vehicle_100014,2000.0,6095.0,4095.0
vehicle_100015,2000.0,6549.0,4549.0
vehicle_100016,2000.0,6034.0,4034.0
vehicle_100017,2000.0,6046.0,4046.0
vehicle_100018,2000.0,8896.0,6896.0
vehicle_100019,2000.0,5651.0,3651.0
vehicle_100020,2000.0,6314.0,4314.0
