vehicle_id,depart_time,arrival_time,abc_trip_time,aco_trip_time,cuckoo_trip_time,dijkstra_trip_time,firefly_ trip_time,pso_trip_time,Actual_TravelTime
vehicle_10001,1000,5346,4346,4367,4346,4346,4432,4346,5592
vehicle_10002,2000,9677,7677,7097,7677,7677,6879,7677,6662
vehicle_10003,2000,4905,2905,2911,2905,2905,2893,2905,4981
vehicle_10004,2000,9543,7543,6884,7543,7543,6497,7543,7229
vehicle_10005,2000,6134,4134,4290,4134,4134,4332,4134,5724
vehicle_10006,2000,8252,6252,7638,6252,6252,5250,6252,4423
vehicle_10007,2000,6336,4336,8349,4336,4336,4878,4336,5660
vehicle_10008,2000,8194,6194,5340,6194,6194,6079,6194,9032
vehicle_10009,2000,6060,4060,8681,4060,4060,4040,4060,5989
vehicle_100010,2000,4507,2507,5255,2507,2507,2314,2507,7502
vehicle_100011,2000,7207,5207,5308,5207,5207,4856,5207,5534
vehicle_100012,2000,5754,3754,5708,3754,3754,3671,3754,6097
vehicle_100013,2000,7350,5350,5254,5350,5350,3935,5350,5095
vehicle_100014,2000,8690,6690,6118,6690,6690,6187,6690,7835
vehicle_100015,2000,7202,5202,9453,5202,5202,4423,5202,6294
vehicle_100016,2000,6426,4426,3929,4426,4426,3641,4426,6623
vehicle_100017,2000,9688,7688,5325,7688,7688,5737,7688,8121
vehicle_100018,2000,7311,5311,9284,5311,5311,3819,5311,6473
vehicle_100019,2000,8410,6410,5483,6410,6410,7279,6410,8956
vehicle_100020,2000,6225,4225,3834,4225,4225,3981,4225,6428
