,2,4,6,8,11,13,16,18,20,24,34,38,40,46,49,56,72,79,81,85,92,96,98,100,102,106,118,120,140,1
2,1.0,0.956,0.899,0.941,0.953,0.911,0.923,0.933,0.914,0.726,0.221,0.903,0.712,0.588,0.844,0.934,0.843,0.8,0.792,0.707,0.774,0.907,0.897,0.719,0.534,0.627,0.626,0.878,0.763,
4,0.956,1.0,0.916,0.95,0.941,0.861,0.953,0.927,0.964,0.689,0.179,0.889,0.683,0.552,0.87,0.917,0.781,0.698,0.769,0.605,0.755,0.844,0.873,0.631,0.443,0.526,0.523,0.853,0.777,
6,0.899,0.916,1.0,0.957,0.923,0.819,0.94,0.951,0.883,0.676,0.241,0.939,0.664,0.689,0.968,0.804,0.892,0.722,0.864,0.651,0.767,0.846,0.87,0.645,0.426,0.53,0.522,0.841,0.679,
8,0.941,0.95,0.957,1.0,0.948,0.85,0.949,0.939,0.924,0.67,0.206,0.929,0.673,0.607,0.93,0.887,0.825,0.72,0.83,0.627,0.79,0.857,0.894,0.665,0.427,0.531,0.538,0.865,0.749,
11,0.953,0.941,0.923,0.948,1.0,0.93,0.901,0.965,0.894,0.785,0.23,0.934,0.735,0.596,0.869,0.901,0.86,0.844,0.812,0.735,0.822,0.941,0.938,0.708,0.587,0.671,0.65,0.912,0.773,
13,0.911,0.861,0.819,0.85,0.93,1.0,0.816,0.896,0.821,0.815,0.173,0.866,0.706,0.523,0.765,0.881,0.812,0.859,0.748,0.749,0.813,0.927,0.901,0.704,0.639,0.712,0.689,0.853,0.804,
16,0.923,0.953,0.94,0.949,0.901,0.816,1.0,0.911,0.931,0.629,0.195,0.896,0.643,0.603,0.904,0.872,0.804,0.664,0.8,0.588,0.731,0.803,0.831,0.619,0.365,0.489,0.483,0.826,0.726,
18,0.933,0.927,0.951,0.939,0.965,0.896,0.911,1.0,0.873,0.776,0.274,0.944,0.715,0.625,0.907,0.871,0.885,0.832,0.834,0.74,0.799,0.909,0.934,0.73,0.56,0.66,0.637,0.891,0.735,
20,0.914,0.964,0.883,0.924,0.894,0.821,0.931,0.873,1.0,0.622,0.17,0.841,0.62,0.557,0.835,0.888,0.722,0.626,0.714,0.533,0.719,0.793,0.814,0.572,0.375,0.463,0.455,0.814,0.768,
24,0.726,0.689,0.676,0.67,0.785,0.815,0.629,0.776,0.622,1.0,0.196,0.725,0.633,0.347,0.635,0.715,0.705,0.773,0.613,0.699,0.666,0.802,0.775,0.611,0.63,0.74,0.608,0.679,0.6,
34,0.221,0.179,0.241,0.206,0.23,0.173,0.195,0.274,0.17,0.196,1.0,0.207,0.28,0.139,0.211,0.17,0.329,0.366,0.137,0.387,0.161,0.237,0.292,0.123,0.253,0.301,0.223,0.206,0.079,
38,0.903,0.889,0.939,0.929,0.934,0.866,0.896,0.944,0.841,0.725,0.207,1.0,0.705,0.621,0.906,0.823,0.862,0.777,0.834,0.664,0.789,0.885,0.891,0.67,0.521,0.57,0.568,0.864,0.712,
40,0.712,0.683,0.664,0.673,0.735,0.706,0.643,0.715,0.62,0.633,0.28,0.705,1.0,0.35,0.605,0.667,0.643,0.675,0.579,0.609,0.605,0.722,0.732,0.499,0.464,0.498,0.479,0.653,0.543,
46,0.588,0.552,0.689,0.607,0.596,0.523,0.603,0.625,0.557,0.347,0.139,0.621,0.35,1.0,0.692,0.464,0.684,0.515,0.601,0.484,0.48,0.56,0.509,0.461,0.22,0.348,0.347,0.577,0.352,
49,0.844,0.87,0.968,0.93,0.869,0.765,0.904,0.907,0.835,0.635,0.211,0.906,0.605,0.692,1.0,0.745,0.83,0.65,0.835,0.597,0.75,0.775,0.828,0.63,0.332,0.495,0.477,0.81,0.641,
56,0.934,0.917,0.804,0.887,0.901,0.881,0.872,0.871,0.888,0.715,0.17,0.823,0.667,0.464,0.745,1.0,0.74,0.752,0.713,0.65,0.728,0.867,0.846,0.656,0.533,0.606,0.583,0.822,0.761,
72,0.843,0.781,0.892,0.825,0.86,0.812,0.804,0.885,0.722,0.705,0.329,0.862,0.643,0.684,0.83,0.74,1.0,0.824,0.841,0.803,0.702,0.867,0.832,0.71,0.563,0.673,0.646,0.771,0.568,
79,0.8,0.698,0.722,0.72,0.844,0.859,0.664,0.832,0.626,0.773,0.366,0.777,0.675,0.515,0.65,0.752,0.824,1.0,0.71,0.831,0.708,0.88,0.846,0.702,0.713,0.77,0.701,0.782,0.615,
81,0.792,0.769,0.864,0.83,0.812,0.748,0.8,0.834,0.714,0.613,0.137,0.834,0.579,0.601,0.835,0.713,0.841,0.71,1.0,0.611,0.687,0.775,0.766,0.626,0.4,0.521,0.481,0.748,0.58,
85,0.707,0.605,0.651,0.627,0.735,0.749,0.588,0.74,0.533,0.699,0.387,0.664,0.609,0.484,0.597,0.65,0.803,0.831,0.611,1.0,0.61,0.782,0.758,0.707,0.65,0.771,0.793,0.686,0.51,
92,0.774,0.755,0.767,0.79,0.822,0.813,0.731,0.799,0.719,0.666,0.161,0.789,0.605,0.48,0.75,0.728,0.702,0.708,0.687,0.61,1.0,0.792,0.816,0.595,0.523,0.555,0.568,0.752,0.678,
96,0.907,0.844,0.846,0.857,0.941,0.927,0.803,0.909,0.793,0.802,0.237,0.885,0.722,0.56,0.775,0.867,0.867,0.88,0.775,0.782,0.792,1.0,0.895,0.712,0.668,0.73,0.699,0.848,0.705,
98,0.897,0.873,0.87,0.894,0.938,0.901,0.831,0.934,0.814,0.775,0.292,0.891,0.732,0.509,0.828,0.846,0.832,0.846,0.766,0.758,0.816,0.895,1.0,0.709,0.63,0.677,0.674,0.85,0.728,
100,0.719,0.631,0.645,0.665,0.708,0.704,0.619,0.73,0.572,0.611,0.123,0.67,0.499,0.461,0.63,0.656,0.71,0.702,0.626,0.707,0.595,0.712,0.709,1.0,0.397,0.67,0.74,0.686,0.537,
102,0.534,0.443,0.426,0.427,0.587,0.639,0.365,0.56,0.375,0.63,0.253,0.521,0.464,0.22,0.332,0.533,0.563,0.713,0.4,0.65,0.523,0.668,0.63,0.397,1.0,0.612,0.552,0.501,0.431,
106,0.627,0.526,0.53,0.531,0.671,0.712,0.489,0.66,0.463,0.74,0.301,0.57,0.498,0.348,0.495,0.606,0.673,0.77,0.521,0.771,0.555,0.73,0.677,0.67,0.612,1.0,0.727,0.646,0.469,
118,0.626,0.523,0.522,0.538,0.65,0.689,0.483,0.637,0.455,0.608,0.223,0.568,0.479,0.347,0.477,0.583,0.646,0.701,0.481,0.793,0.568,0.699,0.674,0.74,0.552,0.727,1.0,0.616,0.468,
120,0.878,0.853,0.841,0.865,0.912,0.853,0.826,0.891,0.814,0.679,0.206,0.864,0.653,0.577,0.81,0.822,0.771,0.782,0.748,0.686,0.752,0.848,0.85,0.686,0.501,0.646,0.616,1.0,0.703,
140,0.763,0.777,0.679,0.749,0.773,0.804,0.726,0.735,0.768,0.6,0.079,0.712,0.543,0.352,0.641,0.761,0.568,0.615,0.58,0.51,0.678,0.705,0.728,0.537,0.431,0.469,0.468,0.703,1.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
