vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5432.0,4432.0
vehicle_10002,2000.0,8879.0,6879.0
vehicle_10003,2000.0,4893.0,2893.0
vehicle_10004,2000.0,8497.0,6497.0
vehicle_10005,2000.0,6332.0,4332.0
vehicle_10006,2000.0,7250.0,5250.0
vehicle_10007,2000.0,6878.0,4878.0
vehicle_10008,2000.0,8079.0,6079.0
vehicle_10009,2000.0,3440.0,1440.0
vehicle_100010,2000.0,4314.0,2314.0
vehicle_100011,2000.0,6856.0,4856.0
vehicle_100012,2000.0,5671.0,3671.0
vehicle_100013,2000.0,5935.0,3935.0
vehicle_100014,2000.0,8187.0,6187.0
vehicle_100015,2000.0,6423.0,4423.0
vehicle_100016,2000.0,5641.0,3641.0
vehicle_100017,2000.0,7737.0,5737.0
vehicle_100018,2000.0,5819.0,3819.0
vehicle_100019,2000.0,9279.0,7279.0
vehicle_100020,2000.0,5981.0,3981.0
