junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2,0.0,0.53,2.2,4.0,5.84,7.6,9.02,9.99,11.41,12.34,14.93,16.22,15.08,13.34,12.11,10.73,8.89,7.22,7.0,5.87,4.92,5.31,5.75,5.29,5.22,4.81,4.99,5.26,5.23,4.45,4.3,3.59,2.92,2.14,1.52,0.75,0.39,0.71,0.73,0.44,0.3,0.49,0.45,0.25,0.09,0.06,0.0,0.07,0.02
4,0.0,0.42,1.76,3.47,5.9,8.01,9.42,10.26,11.28,12.45,12.68,12.4,11.26,11.04,10.6,10.47,10.11,9.66,9.01,8.09,7.86,7.0,6.79,6.32,6.48,5.64,4.89,4.47,3.72,3.01,2.64,2.18,1.54,1.27,0.94,0.88,0.74,0.47,0.17,0.16,0.17,0.13,0.11,0.09,0.04,0.0,0.0,0.0,0.0
6,0.0,0.59,1.56,3.55,5.5,7.23,9.8,11.04,14.63,18.27,19.87,19.55,18.26,18.34,18.61,19.16,19.53,17.13,13.71,10.96,9.29,8.17,6.48,3.94,2.27,1.66,1.16,0.3,0.18,0.04,0.01,0.0,0.09,0.04,0.0,0.08,0.09,0.17,0.18,0.06,0.09,0.02,0.0,0.0,0.06,0.06,0.0,0.0,0.0
8,0.0,0.85,2.48,4.03,4.57,6.79,8.67,11.08,12.5,15.3,16.72,17.88,19.23,18.82,17.99,17.29,16.34,14.76,13.15,12.93,11.53,9.69,8.66,7.74,6.85,5.31,4.72,4.51,3.66,2.79,2.02,1.89,1.76,1.77,1.43,0.75,0.21,0.14,0.17,0.2,0.11,0.0,0.14,0.11,0.01,0.0,0.0,0.0,0.08
11,0.0,0.79,2.21,3.85,5.33,6.53,7.44,8.86,10.09,9.73,9.12,8.85,8.95,8.64,7.89,6.92,6.12,5.51,4.96,4.59,4.74,4.2,3.44,2.7,2.28,2.18,2.0,1.24,1.01,0.85,0.48,0.47,0.9,1.19,0.81,0.35,0.41,0.36,0.26,0.32,0.17,0.08,0.08,0.08,0.03,0.05,0.04,0.0,0.0
13,0.0,0.34,1.19,1.88,2.34,2.05,2.71,2.78,2.39,2.85,3.11,3.18,2.67,2.12,1.52,1.68,1.63,1.61,1.03,1.17,1.6,1.1,0.8,0.79,1.14,1.21,0.99,0.71,0.56,0.59,0.58,0.45,0.28,0.27,0.61,0.8,0.72,0.42,0.21,0.09,0.24,0.08,0.09,0.04,0.0,0.0,0.0,0.0,0.0
16,0.0,0.39,0.97,1.95,3.26,4.12,4.67,6.27,7.46,8.32,8.45,7.72,8.36,8.15,8.63,9.21,8.47,8.09,7.84,6.94,5.9,5.31,3.8,3.2,3.88,4.28,4.03,3.65,3.22,3.3,2.59,1.56,1.45,1.24,0.84,0.74,0.39,0.37,0.69,0.59,0.63,0.57,0.27,0.12,0.0,0.0,0.0,0.0,0.0
18,0.0,0.66,1.99,2.37,2.94,3.93,4.93,5.99,6.57,7.77,7.46,7.44,7.58,7.3,5.71,4.86,4.88,5.5,5.64,5.09,4.24,3.31,2.78,2.06,1.21,0.89,0.93,0.64,0.64,0.71,0.31,0.16,0.34,0.38,0.27,0.13,0.12,0.08,0.09,0.2,0.18,0.02,0.2,0.12,0.15,0.08,0.04,0.0,0.0
20,0.0,0.64,1.64,2.9,4.85,6.25,7.01,7.53,8.3,9.35,10.25,10.84,10.47,10.78,10.13,8.59,9.48,9.25,8.54,8.26,8.27,7.59,7.23,6.74,6.15,5.23,3.85,3.67,3.13,2.44,2.09,1.72,1.46,1.68,1.71,1.91,2.14,1.35,1.18,0.7,0.32,0.21,0.12,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.09,0.31,0.47,0.96,1.19,1.12,1.13,1.52,1.11,1.62,1.35,0.54,0.45,0.08,0.05,0.27,1.01,0.81,0.36,0.04,0.09,0.04,0.06,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
