junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2,0.0,0.66,1.97,3.77,6.18,8.14,9.63,10.31,11.35,11.81,12.01,11.97,11.76,10.18,9.79,9.44,7.8,7.06,6.58,6.43,6.34,6.18,5.74,5.14,5.0,5.28,4.38,4.43,4.09,3.43,2.93,2.36,1.52,0.82,0.47,0.38,0.41,0.42,0.55,0.43,0.27,0.13,0.05,0.0,0.06,0.17,0.18,0.08,0.0
4,0.0,0.39,1.6,3.26,4.88,7.21,9.72,10.85,11.91,12.38,12.82,12.82,12.82,11.58,10.14,10.3,10.11,8.87,8.18,8.55,8.18,7.49,6.84,6.29,6.04,5.55,5.05,4.31,3.76,3.42,3.02,2.56,2.08,1.6,1.21,0.71,0.49,0.28,0.25,0.24,0.26,0.25,0.19,0.09,0.05,0.04,0.0,0.0,0.0
6,0.0,0.63,2.0,3.52,5.58,8.45,9.98,12.19,15.0,17.27,20.5,21.8,23.4,23.18,21.61,20.0,17.78,17.01,15.23,11.67,8.77,7.92,6.62,5.01,3.2,2.29,1.4,0.76,0.28,0.26,0.17,0.1,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.0,0.0,0.0,0.0,0.0
8,0.0,0.83,2.63,4.63,6.76,8.23,10.1,12.33,15.18,16.45,18.8,19.77,18.24,17.34,17.65,17.56,16.46,14.07,12.36,11.16,10.33,9.57,8.46,6.84,5.04,3.03,2.55,2.53,2.08,1.68,1.64,1.56,1.55,1.44,1.51,1.4,0.87,0.32,0.27,0.25,0.24,0.19,0.13,0.08,0.0,0.0,0.0,0.0,0.0
11,0.0,0.78,2.27,3.78,5.5,6.67,7.53,8.41,8.73,8.95,9.7,9.58,8.85,8.45,7.54,5.95,5.38,5.51,5.3,4.69,3.81,3.43,3.05,2.56,2.1,1.74,1.45,1.16,0.94,0.64,0.51,0.46,0.57,0.72,0.66,0.43,0.29,0.28,0.4,0.51,0.43,0.22,0.16,0.1,0.12,0.05,0.0,0.0,0.0
13,0.0,0.65,1.47,2.07,2.07,1.61,2.03,2.67,3.01,2.95,3.06,2.26,2.1,2.23,1.9,2.07,1.86,1.58,1.21,1.29,1.59,1.03,0.92,1.21,1.21,1.21,0.89,1.04,1.0,0.6,0.36,0.4,0.59,0.44,0.28,0.85,0.86,0.35,0.21,0.11,0.0,0.04,0.07,0.11,0.14,0.0,0.0,0.0,0.0
16,0.0,0.51,1.17,1.85,2.85,4.3,6.25,7.32,8.52,9.7,10.56,10.48,10.37,10.1,9.75,10.16,10.03,9.37,9.19,8.79,8.59,7.71,6.73,5.85,4.8,3.83,3.04,2.81,1.98,1.74,1.57,1.54,1.41,0.99,0.95,0.93,0.71,0.55,0.5,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.33,0.99,1.79,3.37,4.33,4.9,6.32,7.53,8.64,8.55,8.16,8.02,6.91,5.98,6.0,5.84,5.02,5.0,3.84,3.36,2.65,2.31,1.96,1.7,1.69,1.86,1.48,0.92,0.4,0.23,0.2,0.12,0.14,0.16,0.12,0.13,0.1,0.13,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.71,2.15,3.1,4.76,6.89,7.31,7.75,8.36,8.43,8.86,8.67,8.11,8.9,9.14,7.97,7.33,7.69,7.34,6.9,5.63,4.93,4.65,4.16,3.67,3.47,3.01,2.99,3.12,2.47,1.86,1.67,1.61,1.43,1.47,1.69,1.32,1.03,0.49,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.08,0.2,0.29,0.25,0.69,0.87,0.49,1.13,1.44,0.99,0.54,0.08,0.09,0.46,0.73,1.01,0.53,0.19,0.0,0.01,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
