junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2.0,0.0,6.36,26.400000000000002,48.0,70.08,91.19999999999999,108.24,119.88,136.92000000000002,148.07999999999998,179.16,194.64,180.96,160.07999999999998,145.32,128.76,106.68,86.64,84.0,70.44,59.04,63.72,69.0,63.480000000000004,62.64,57.72,59.88,63.12,62.760000000000005,53.400000000000006,51.599999999999994,43.08,35.04,25.68,18.240000000000002,9.0,4.68,8.52,8.76,5.28,3.5999999999999996,5.88,5.4,3.0,1.08,0.72,0.0,0.8400000000000001,0.24
4.0,0.0,5.04,21.12,41.64,70.80000000000001,96.12,113.03999999999999,123.12,135.35999999999999,149.39999999999998,152.16,148.8,135.12,132.48,127.19999999999999,125.64000000000001,121.32,115.92,108.12,97.08,94.32000000000001,84.0,81.48,75.84,77.76,67.67999999999999,58.67999999999999,53.64,44.64,36.12,31.68,26.160000000000004,18.48,15.24,11.28,10.56,8.879999999999999,5.64,2.04,1.92,2.04,1.56,1.32,1.08,0.48,0.0,0.0,0.0,0.0
6.0,0.0,7.08,18.72,42.599999999999994,66.0,86.76,117.60000000000001,132.48,175.56,219.24,238.44,234.60000000000002,219.12,220.07999999999998,223.32,229.92000000000002,234.36,205.56,164.52,131.52,111.47999999999999,98.03999999999999,77.76,47.28,27.240000000000002,19.919999999999998,13.919999999999998,3.5999999999999996,2.16,0.48,0.12,0.0,1.08,0.48,0.0,0.96,1.08,2.04,2.16,0.72,1.08,0.24,0.0,0.0,0.72,0.72,0.0,0.0,0.0
8.0,0.0,7.6499999999999995,22.32,36.27,41.13,61.11,78.03,99.72,112.5,137.70000000000002,150.48,160.92,173.07,169.38,161.91,155.60999999999999,147.06,132.84,118.35000000000001,116.37,103.77,87.21,77.94,69.66,61.65,47.79,42.48,40.589999999999996,32.94,25.11,18.18,17.009999999999998,15.84,15.93,12.87,6.75,1.89,1.2600000000000002,1.53,1.8,0.99,0.0,1.2600000000000002,0.99,0.09,0.0,0.0,0.0,0.72
11.0,0.0,4.74,13.26,23.1,31.98,39.18,44.64,53.16,60.54,58.38,54.72,53.099999999999994,53.699999999999996,51.84,47.339999999999996,41.519999999999996,36.72,33.06,29.759999999999998,27.54,28.44,25.200000000000003,20.64,16.200000000000003,13.68,13.080000000000002,12.0,7.4399999999999995,6.0600000000000005,5.1,2.88,2.82,5.4,7.14,4.86,2.0999999999999996,2.46,2.16,1.56,1.92,1.02,0.48,0.48,0.48,0.18,0.30000000000000004,0.24,0.0,0.0
13.0,0.0,5.1000000000000005,17.849999999999998,28.2,35.099999999999994,30.749999999999996,40.65,41.699999999999996,35.85,42.75,46.65,47.7,40.05,31.8,22.8,25.2,24.45,24.150000000000002,15.450000000000001,17.549999999999997,24.0,16.5,12.0,11.850000000000001,17.099999999999998,18.15,14.85,10.649999999999999,8.4,8.85,8.7,6.75,4.2,4.050000000000001,9.15,12.0,10.799999999999999,6.3,3.15,1.3499999999999999,3.5999999999999996,1.2,1.3499999999999999,0.6,0.0,0.0,0.0,0.0,0.0
16.0,0.0,4.68,11.64,23.4,39.12,49.44,56.04,75.24,89.52,99.84,101.39999999999999,92.64,100.32,97.80000000000001,103.56,110.52000000000001,101.64000000000001,97.08,94.08,83.28,70.80000000000001,63.72,45.599999999999994,38.400000000000006,46.56,51.36,48.36,43.8,38.64,39.599999999999994,31.08,18.72,17.4,14.879999999999999,10.08,8.879999999999999,4.68,4.4399999999999995,8.28,7.08,7.5600000000000005,6.84,3.24,1.44,0.0,0.0,0.0,0.0,0.0
18.0,0.0,5.94,17.91,21.330000000000002,26.46,35.370000000000005,44.37,53.910000000000004,59.13,69.92999999999999,67.14,66.96000000000001,68.22,65.7,51.39,43.74,43.92,49.5,50.76,45.81,38.160000000000004,29.79,25.02,18.54,10.89,8.01,8.370000000000001,5.76,5.76,6.39,2.79,1.44,3.06,3.42,2.43,1.17,1.08,0.72,0.8099999999999999,1.8,1.6199999999999999,0.18,1.8,1.08,1.3499999999999999,0.72,0.36,0.0,0.0
20.0,0.0,7.68,19.68,34.8,58.199999999999996,75.0,84.12,90.36,99.60000000000001,112.19999999999999,123.0,130.07999999999998,125.64000000000001,129.35999999999999,121.56,103.08,113.76,111.0,102.47999999999999,99.12,99.24,91.08,86.76,80.88,73.80000000000001,62.760000000000005,46.2,44.04,37.56,29.28,25.08,20.64,17.52,20.16,20.52,22.919999999999998,25.68,16.200000000000003,14.16,8.399999999999999,3.84,2.52,1.44,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,1.3499999999999999,4.65,7.05,14.399999999999999,17.849999999999998,16.8,16.95,22.8,16.650000000000002,24.3,20.25,8.100000000000001,6.75,1.2,0.75,4.050000000000001,15.15,12.15,5.3999999999999995,0.6,1.3499999999999999,0.6,0.8999999999999999,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,20.55,69.15,95.55,140.70000000000002,200.1,189.14999999999998,191.85,233.7,256.8,250.35000000000002,280.2,292.04999999999995,282.75,311.40000000000003,339.6,259.8,250.95000000000002,258.90000000000003,210.29999999999998,163.8,137.4,117.75,62.099999999999994,42.45,35.4,25.8,15.75,9.3,4.35,8.549999999999999,8.4,5.8500000000000005,0.3,4.65,0.0,0.0,0.0,4.8,5.1000000000000005,0.0,0.0,1.2,3.75,0.0,0.0,0.0,4.050000000000001,0.8999999999999999
40.0,0.0,0.0,0.36,0.24,0.48,1.44,0.8400000000000001,1.08,1.56,1.1400000000000001,0.72,1.2000000000000002,0.48,0.72,1.44,0.24,0.6000000000000001,0.72,0.48,0.12,0.24,0.36,0.72,0.48,0.24,0.24,0.12,0.36,0.0,0.12,0.0,0.24,0.0,0.12,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0
46.0,0.0,0.72,0.72,7.290000000000001,3.2399999999999998,14.49,7.47,20.339999999999996,42.21,62.82000000000001,112.41,129.15,102.06,89.28,48.06,25.02,5.22,1.8,0.45,0.18,1.53,0.0,0.18,0.0,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,5.94,17.37,32.04,40.410000000000004,43.38,55.800000000000004,52.83,79.74,144.54,186.84,180.81,172.08,171.71999999999997,154.17,161.91,179.64000000000001,170.73,134.82,121.59,116.91,108.0,82.71,28.71,0.0,0.54,5.040000000000001,2.61,0.09,0.0,0.09,0.0,2.88,1.2600000000000002,0.0,2.5200000000000005,1.53,1.98,1.98,0.27,2.97,0.72,0.0,0.0,2.0700000000000003,1.98,0.0,0.0,0.0
56.0,0.0,2.88,21.419999999999998,53.1,75.87,90.63,101.79,110.25,114.84,140.76,137.34,134.1,112.95,104.31,104.04,119.16,108.99,93.96,89.73,89.01,79.83,58.23,71.10000000000001,73.26,58.77,49.32000000000001,56.42999999999999,71.91,61.38,53.910000000000004,45.089999999999996,46.71,47.25,45.54,47.699999999999996,48.24,40.23,21.24,5.67,4.59,5.040000000000001,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,4.62,6.6000000000000005,6.24,14.04,21.78,25.86,48.300000000000004,71.46000000000001,79.5,93.9,101.10000000000001,89.58,52.92,31.619999999999997,44.160000000000004,66.0,41.46,17.28,6.18,1.32,0.36,1.5,6.0,6.12,0.42000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,7.38,18.6,29.339999999999996,33.12,37.2,40.38,58.260000000000005,57.239999999999995,55.92,51.96,60.239999999999995,67.26,35.400000000000006,18.240000000000002,9.120000000000001,5.699999999999999,9.600000000000001,7.74,8.7,14.940000000000001,5.28,3.06,3.24,2.7600000000000002,2.0999999999999996,2.7600000000000002,5.58,5.4,3.0,0.0,0.0,0.06,0.0,0.0,1.6800000000000002,3.0,0.06,0.0,2.4000000000000004,2.4000000000000004,1.02,4.5600000000000005,4.26,3.24,1.02,0.0,0.0,0.0
81.0,0.0,0.0,0.12,1.26,5.699999999999999,6.0600000000000005,7.17,2.8499999999999996,5.91,13.169999999999998,8.879999999999999,17.009999999999998,12.0,10.649999999999999,5.88,7.4399999999999995,5.550000000000001,6.8100000000000005,9.899999999999999,5.88,0.06,0.06,0.0,0.6900000000000001,0.0,0.0,0.36,0.0,0.0,0.78,0.42000000000000004,0.39,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,2.7600000000000002,5.16,11.52,22.919999999999998,16.56,19.32,42.839999999999996,37.2,30.599999999999998,22.799999999999997,44.04,16.919999999999998,15.72,11.040000000000001,6.959999999999999,0.72,0.72,0.24,0.48,0.0,0.48,0.48,0.48,0.24,0.0,0.0,0.48,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,0.0,6.0600000000000005,17.1,14.82,11.7,16.919999999999998,9.959999999999999,17.34,11.82,20.88,12.899999999999999,15.18,22.32,11.82,3.4799999999999995,10.02,8.7,21.0,14.04,13.98,5.82,8.459999999999999,15.0,0.12,5.58,3.7199999999999998,9.120000000000001,0.18,0.0,3.9000000000000004,0.78,4.9799999999999995,8.879999999999999,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,1.26,0.0,0.0,0.0,0.0,0.0
96.0,0.0,11.61,17.46,22.589999999999996,41.85,52.29,73.8,91.44,91.35000000000001,103.5,101.79,65.88,69.12,91.53,99.17999999999999,80.55,72.27,67.05,34.11,27.089999999999996,30.150000000000002,18.72,24.3,29.07,22.05,12.78,14.4,9.18,12.69,5.31,0.0,3.78,8.459999999999999,6.03,3.33,6.93,17.82,10.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,0.0,29.61,67.67999999999999,89.28,85.67999999999999,109.35000000000001,130.76999999999998,205.83,252.27,244.71,233.37,203.21999999999997,220.77,182.16,79.2,88.56,123.12,150.12,175.5,192.96,168.03000000000003,152.54999999999998,128.43,55.44,32.76,9.450000000000001,1.71,8.459999999999999,9.0,2.61,9.0,11.61,9.0,6.12,0.0,0.0,0.0,7.47,9.0,1.98,0.0,0.0,8.280000000000001,9.0,1.3499999999999999,0.0,0.0,0.0,0.0
