junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2,0.0,0.49,0.85,2.04,1.76,2.72,2.89,2.65,3.65,4.25,4.32,4.17,4.71,4.49,5.13,6.83,7.65,6.49,6.68,7.25,7.38,8.17,9.04,7.46,7.33,6.89,7.09,6.6,7.44,7.34,7.83,5.72,6.41,8.35,9.77,10.03,8.36,8.12,8.25,7.71,8.08,8.17,7.63,6.76,7.34,8.27,7.35,6.69,7.39
4,0.0,0.04,0.43,1.6,2.67,3.18,3.8,4.29,4.51,4.05,4.39,5.0,4.86,4.87,4.55,5.18,6.08,6.33,6.54,6.22,6.25,5.85,5.77,5.78,5.21,5.03,6.09,5.66,5.99,5.69,4.85,6.07,6.75,6.06,5.42,5.76,6.73,6.29,5.92,5.54,5.17,5.62,5.67,5.47,6.06,5.86,6.5,6.67,6.01
6,0.0,0.22,0.77,1.27,2.98,3.38,4.21,4.41,3.84,2.61,2.62,3.48,4.25,5.41,7.13,7.06,6.67,5.72,4.85,5.08,4.83,5.74,4.53,3.33,4.04,4.77,6.51,7.1,5.94,6.08,6.91,6.54,5.73,6.17,5.61,4.72,3.34,4.22,4.75,6.12,7.02,6.21,5.89,5.85,4.16,4.63,5.98,5.36,4.33
8,0.0,0.21,0.45,1.05,1.94,2.24,3.48,4.24,5.76,6.02,6.76,5.73,7.0,8.11,6.67,6.01,4.4,4.72,5.63,6.24,8.04,8.05,8.94,9.9,8.08,7.5,6.57,5.6,5.56,6.96,6.43,6.66,8.2,9.76,9.03,10.11,10.71,10.67,10.13,8.95,7.89,9.1,10.99,11.71,10.61,10.06,11.17,9.96,8.23
11,0.0,0.21,0.78,1.05,1.65,2.39,2.51,2.99,3.06,3.05,3.21,3.51,3.4,4.05,4.14,3.29,3.77,4.2,4.27,4.25,4.06,4.31,4.66,5.21,5.14,4.87,3.68,3.61,4.39,4.83,3.92,4.01,4.34,4.52,4.11,4.17,5.0,5.12,4.8,4.55,4.56,3.79,4.06,5.01,4.08,2.91,3.58,5.03,5.34
13,0.0,0.09,0.09,0.02,0.43,0.44,0.13,0.24,0.89,0.44,0.69,1.23,1.34,1.73,2.0,1.42,1.36,1.52,1.74,1.87,2.19,3.29,2.52,0.78,0.79,2.05,2.47,2.34,1.78,0.64,0.63,2.0,3.08,2.72,1.5,1.54,1.95,1.63,1.35,2.29,1.96,2.31,2.56,2.42,1.92,1.29,1.27,1.33,1.79
16,0.0,0.51,1.7,1.55,1.87,0.78,1.57,2.38,2.82,4.55,4.95,3.94,3.99,4.52,4.46,5.42,5.82,5.74,5.2,4.57,6.02,6.2,6.26,5.65,6.88,6.71,5.41,6.59,7.42,6.71,5.53,4.39,5.73,6.65,5.9,4.67,3.02,4.19,5.59,7.53,7.36,6.61,7.13,8.06,7.99,7.37,6.94,5.87,5.55
18,0.0,0.0,0.07,0.19,0.53,2.35,3.42,3.07,2.23,3.43,4.23,4.29,3.63,3.16,3.18,3.74,4.69,4.46,4.07,3.56,2.68,2.94,4.64,5.66,4.86,4.73,3.96,3.27,3.95,4.95,4.55,3.78,3.23,3.85,3.67,2.87,4.12,4.17,4.08,3.91,4.82,4.92,5.89,4.56,2.93,2.48,3.84,5.12,5.06
20,0.0,0.21,0.81,0.72,0.57,0.78,1.85,2.29,3.2,4.07,4.74,5.07,6.06,4.86,5.77,5.85,5.12,4.09,5.97,6.78,6.56,6.01,4.8,4.16,4.39,5.0,5.24,5.8,4.95,4.73,6.15,5.97,5.77,5.26,4.02,4.54,6.6,5.61,5.8,5.56,4.61,6.82,6.9,6.5,6.63,7.06,5.36,3.97,4.72
24,0.0,0.05,0.33,0.33,0.0,0.3,0.44,1.0,1.54,1.46,0.37,0.74,0.94,0.54,1.0,1.21,0.14,0.5,0.35,0.4,0.32,0.34,0.8,0.73,0.0,0.01,0.2,0.37,0.41,0.26,0.91,1.37,0.03,0.02,0.15,0.16,0.28,0.83,1.05,1.2,1.49,0.45,0.58,0.44,0.6,1.32,0.87,0.59,1.17
