vehicle_id,StartTime,EndTime,TravelTime
vehicle_10001,1001.0,6593.0,5592.0
vehicle_10002,2001.0,8663.0,6662.0
vehicle_10003,2001.0,6982.0,4981.0
vehicle_10004,2025.0,9254.0,7229.0
vehicle_10005,2001.0,7725.0,5724.0
vehicle_10006,2001.0,6424.0,4423.0
vehicle_10007,2021.0,7681.0,5660.0
vehicle_10008,2001.0,11033.0,9032.0
vehicle_10009,2001.0,7990.0,5989.0
vehicle_100010,2001.0,9503.0,7502.0
vehicle_100011,2001.0,7535.0,5534.0
vehicle_100012,2025.0,8122.0,6097.0
vehicle_100013,2001.0,7096.0,5095.0
vehicle_100014,2039.0,9874.0,7835.0
vehicle_100015,2047.0,8341.0,6294.0
vehicle_100016,2022.0,8645.0,6623.0
vehicle_100017,2001.0,10122.0,8121.0
vehicle_100018,2064.0,8537.0,6473.0
vehicle_100019,2017.0,10973.0,8956.0
vehicle_100020,2032.0,8460.0,6428.0
